Course Title,Course Author,Course Link,Authors's Image Link
Introduction to R , Jonathan Cornelissen, /courses/free-introduction-to-r, https://assets.datacamp.com/users/avatars/000/464/581/square/jonathan.jpg?1469693600
Data Analysis in R, Matt Dowle, /courses/data-table-data-manipulation-r-tutorial, https://assets.datacamp.com/users/avatars/000/039/389/square/matt.jpg?1546303108
Intermediate R , Filip Schouwenaars, /courses/intermediate-r, https://assets.datacamp.com/users/avatars/000/275/302/square/Filipaboutpic.jpg?1493154242
Introduction to Machine Learning , Gilles Inghelbrecht, /courses/introduction-to-machine-learning-with-r, https://assets.datacamp.com/users/avatars/000/458/144/square/Pasfoto_-_Gilles_Inghelbrecht.jpg?1469188844
Cleaning Data in R , Nick Carchedi, /courses/cleaning-data-in-r, https://assets.datacamp.com/users/avatars/000/218/295/square/NickAboutPic.jpg?1493154435
Introduction to Python , Filip Schouwenaars, /courses/intro-to-python-for-data-science, https://assets.datacamp.com/users/avatars/000/275/302/square/Filipaboutpic.jpg?1493154242
Intermediate R - Practice , Filip Schouwenaars, /courses/intermediate-r-practice, https://assets.datacamp.com/users/avatars/000/275/302/square/Filipaboutpic.jpg?1493154242
Data Visualization with ggplot2 (Part 1) , Rick Scavetta, /courses/data-visualization-with-ggplot2-1, https://assets.datacamp.com/users/avatars/000/149/440/square/rick.png?1540905800
Data Visualization with ggplot2 (Part 2) , Rick Scavetta, /courses/data-visualization-with-ggplot2-2, https://assets.datacamp.com/users/avatars/000/149/440/square/rick.png?1540905800
Intermediate Python for Data Science , Filip Schouwenaars, /courses/intermediate-python-for-data-science, https://assets.datacamp.com/users/avatars/000/275/302/square/Filipaboutpic.jpg?1493154242
Data Visualization with ggplot2 (Part 3) , Rick Scavetta, /courses/data-visualization-with-ggplot2-part-3, https://assets.datacamp.com/users/avatars/000/149/440/square/rick.png?1540905800
Text Mining: Bag of Words , Ted Kwartler, /courses/intro-to-text-mining-bag-of-words, https://assets.datacamp.com/users/avatars/000/151/559/square/Ted.png?1507949408
Exploring Pitch Data with R , Brian M. Mills, /courses/exploring-pitch-data-with-r, https://assets.datacamp.com/users/avatars/000/256/868/square/brian.png?1465936909
Introduction to Portfolio Analysis in R , Kris Boudt, /courses/introduction-to-portfolio-analysis-in-r, https://assets.datacamp.com/users/avatars/000/000/048/square/2KZqyDVQ.jpg?1542386843
Credit Risk Modeling in R , Lore Dirick, /courses/introduction-to-credit-risk-modeling-in-r, https://assets.datacamp.com/users/avatars/000/310/314/square/loreaboutpic.jpg?1493154524
Machine Learning Toolbox , Zachary Deane-Mayer, /courses/machine-learning-toolbox, https://assets.datacamp.com/users/avatars/000/000/223/square/zach.jpg?1471726055
Introduction to Databases in Python , Jason Myers, /courses/introduction-to-relational-databases-in-python, https://assets.datacamp.com/users/avatars/000/376/297/square/JM.png?1477654638
Manipulating Time Series Data in R with xts & zoo , Jeffrey Ryan, /courses/manipulating-time-series-data-in-r-with-xts-zoo, https://assets.datacamp.com/users/avatars/000/516/807/square/author_image.jpg?1473720137
Introduction to Time Series Analysis , David S. Matteson, /courses/introduction-to-time-series-analysis, https://assets.datacamp.com/users/avatars/000/354/019/square/mattesono.jpg?1481931361
Importing & Cleaning Data in R: Case Studies , Nick Carchedi, /courses/importing-cleaning-data-in-r-case-studies, https://assets.datacamp.com/users/avatars/000/218/295/square/NickAboutPic.jpg?1493154435
Financial Trading in R , Ilya  Kipnis, /courses/financial-trading-in-r, https://assets.datacamp.com/users/avatars/000/529/134/square/author_image.jpeg?1474381110
Importing and Managing Financial Data in R , Joshua Ulrich, /courses/importing-and-managing-financial-data-in-r, https://assets.datacamp.com/users/avatars/000/387/331/square/Josh_Ulrich.png?1487867493
Interactive Data Visualization with Bokeh , Team Anaconda, /courses/interactive-data-visualization-with-bokeh, https://assets.datacamp.com/users/avatars/000/638/084/square/anacondalogo.png?1538505076
Exploratory Data Analysis in R: Case Study , David Robinson, /courses/exploratory-data-analysis-in-r-case-study, https://assets.datacamp.com/users/avatars/000/451/056/square/david_robinson_picture2.jpg?1476112227
Importing Data in R (Part 1) , Filip Schouwenaars, /courses/importing-data-in-r-part-1, https://assets.datacamp.com/users/avatars/000/275/302/square/Filipaboutpic.jpg?1493154242
Importing Data in R (Part 2) , Filip Schouwenaars, /courses/importing-data-in-r-part-2, https://assets.datacamp.com/users/avatars/000/275/302/square/Filipaboutpic.jpg?1493154242
Data Visualization in R , Ronald Pearson, /courses/data-visualization-in-r, https://assets.datacamp.com/users/avatars/000/358/615/square/Screenshot_2016-11-14_15.15.38.png?1479154877
Python Data Science Toolbox (Part 2) , Hugo Bowne-Anderson, /courses/python-data-science-toolbox-part-2, https://assets.datacamp.com/users/avatars/000/301/837/square/hugoaboutpic.jpg?1493154678
Python Data Science Toolbox (Part 1) , Hugo Bowne-Anderson, /courses/python-data-science-toolbox-part-1, https://assets.datacamp.com/users/avatars/000/301/837/square/hugoaboutpic.jpg?1493154678
Statistical Thinking in Python (Part 1) , Justin Bois, /courses/statistical-thinking-in-python-part-1, https://assets.datacamp.com/users/avatars/000/353/914/square/Screenshot_2016-10-07_18.54.27.png?1475880916
Statistical Thinking in Python (Part 2) , Justin Bois, /courses/statistical-thinking-in-python-part-2, https://assets.datacamp.com/users/avatars/000/353/914/square/Screenshot_2016-10-07_18.54.27.png?1475880916
Statistical Modeling in R (Part 1) , Daniel Kaplan, /courses/statistical-modeling-in-r-part-1, https://assets.datacamp.com/users/avatars/000/163/003/square/danny.jpg?1471562282
Statistical Modeling in R (Part 2) , Daniel Kaplan, /courses/statistical-modeling-in-r-part-2, https://assets.datacamp.com/users/avatars/000/163/003/square/danny.jpg?1471562282
Intermediate Portfolio Analysis in R , Ross Bennett, /courses/intermediate-portfolio-analysis-in-r, https://assets.datacamp.com/users/avatars/000/473/654/square/RossBennett.jpeg?1488209295
Importing Data in Python (Part 2) , Hugo Bowne-Anderson, /courses/importing-data-in-python-part-2, https://assets.datacamp.com/users/avatars/000/301/837/square/hugoaboutpic.jpg?1493154678
Importing Data in Python (Part 1) , Hugo Bowne-Anderson, /courses/importing-data-in-python-part-1, https://assets.datacamp.com/users/avatars/000/301/837/square/hugoaboutpic.jpg?1493154678
pandas Foundations , Team Anaconda, /courses/pandas-foundations, https://assets.datacamp.com/users/avatars/000/638/084/square/anacondalogo.png?1538505076
Manipulating DataFrames with pandas , Team Anaconda, /courses/manipulating-dataframes-with-pandas, https://assets.datacamp.com/users/avatars/000/638/084/square/anacondalogo.png?1538505076
Merging DataFrames with pandas , Team Anaconda, /courses/merging-dataframes-with-pandas, https://assets.datacamp.com/users/avatars/000/638/084/square/anacondalogo.png?1538505076
Bond Valuation and Analysis in R , Clifford Ang, /courses/bond-valuation-and-analysis-in-r, https://assets.datacamp.com/users/avatars/000/480/431/square/cliffang2.jpg?1482254976
Foundations of Inference , Jo Hardin, /courses/foundations-of-inference, https://assets.datacamp.com/users/avatars/000/265/630/square/jo_headshot8.jpg?1481653247
Introduction to Data Visualization with Python , Team Anaconda, /courses/introduction-to-data-visualization-with-python, https://assets.datacamp.com/users/avatars/000/638/084/square/anacondalogo.png?1538505076
Exploratory Data Analysis , Andrew Bray, /courses/exploratory-data-analysis, https://assets.datacamp.com/users/avatars/000/674/528/square/andrew.JPG?1482085358
Correlation and Regression , Ben Baumer, /courses/correlation-and-regression, https://assets.datacamp.com/users/avatars/000/459/463/square/ben.jpg?1482085128
Introduction to Data , Mine Cetinkaya-Rundel, /courses/introduction-to-data, https://assets.datacamp.com/users/avatars/000/006/716/square/mine.png?1392389966
ARIMA Modeling with R , David Stoffer, /courses/arima-modeling-with-r, https://assets.datacamp.com/users/avatars/000/473/659/square/David_Stoffer.png?1482187979
Unsupervised Learning in R , Hank Roark, /courses/unsupervised-learning-in-r, https://assets.datacamp.com/users/avatars/000/635/274/square/hank.jpg?1479929241
Working with Geospatial Data in R , Charlotte Wickham, /courses/working-with-geospatial-data-in-r, https://assets.datacamp.com/users/avatars/000/037/334/square/Charlotte-square-small.jpg?1465646329
Network Analysis in Python (Part 1) , Eric Ma, /courses/network-analysis-in-python-part-1, https://assets.datacamp.com/users/avatars/000/393/596/square/EM.png?1487772267
Supervised Learning with scikit-learn , Hugo Bowne-Anderson, /courses/supervised-learning-with-scikit-learn, https://assets.datacamp.com/users/avatars/000/301/837/square/hugoaboutpic.jpg?1493154678
Intro to SQL for Data Science , Nick Carchedi, /courses/intro-to-sql-for-data-science, https://assets.datacamp.com/users/avatars/000/218/295/square/NickAboutPic.jpg?1493154435
Manipulating Time Series Data in R: Case Studies , Lore Dirick, /courses/manipulating-time-series-data-in-r-case-studies, https://assets.datacamp.com/users/avatars/000/310/314/square/loreaboutpic.jpg?1493154524
Deep Learning in Python , Dan Becker, /courses/deep-learning-in-python, https://assets.datacamp.com/users/avatars/000/245/897/square/danbecker.png?1489428668
Object-Oriented Programming in R: S3 and R6 , Richie Cotton, /courses/object-oriented-programming-in-r-s3-and-r6, https://assets.datacamp.com/users/avatars/000/547/073/square/richieaboutpic.jpg?1493156961
Sentiment Analysis in R , Ted Kwartler, /courses/sentiment-analysis-in-r, https://assets.datacamp.com/users/avatars/000/151/559/square/Ted.png?1507949408
Cleaning Data in Python , Daniel Chen, /courses/cleaning-data-in-python, https://assets.datacamp.com/users/avatars/000/481/353/square/danielchen.png?1487951784
Unsupervised Learning in Python , Benjamin Wilson, /courses/unsupervised-learning-in-python, https://assets.datacamp.com/users/avatars/000/555/605/square/1333219.png?1481589865
Visualizing Time Series Data in R , Arnaud Amsellem, /courses/visualizing-time-series-data-in-r, https://assets.datacamp.com/users/avatars/000/585/226/square/Arnaud_Amsellem_2.jpg?1493112548
Valuation of Life Insurance Products in R , Katrien Antonio, /courses/valuation-of-life-insurance-products-in-r, https://assets.datacamp.com/users/avatars/000/000/395/square/KatrienLarge_aangepast.jpg?1522094798
Foundations of Probability in R , David Robinson, /courses/foundations-of-probability-in-r, https://assets.datacamp.com/users/avatars/000/451/056/square/david_robinson_picture2.jpg?1476112227
Scalable Data Processing in R , Michael Kane, /courses/scalable-data-processing-in-r, https://assets.datacamp.com/users/avatars/000/635/428/square/Mike.jpeg?1514740558
Machine Learning with the Experts: School Budgets , Peter Bull, /courses/machine-learning-with-the-experts-school-budgets, https://assets.datacamp.com/users/avatars/000/382/370/square/pjbull.png?1487962775
Introduction to R for Finance , Lore Dirick, /courses/introduction-to-r-for-finance, https://assets.datacamp.com/users/avatars/000/310/314/square/loreaboutpic.jpg?1493154524
Intermediate R for Finance , Lore Dirick, /courses/intermediate-r-for-finance, https://assets.datacamp.com/users/avatars/000/310/314/square/loreaboutpic.jpg?1493154524
Supervised Learning in R: Classification , Brett Lantz, /courses/supervised-learning-in-r-classification, https://assets.datacamp.com/users/avatars/000/566/839/square/brettlantz_headshot5.jpg?1503665942
String Manipulation in R with stringr , Charlotte Wickham, /courses/string-manipulation-in-r-with-stringr, https://assets.datacamp.com/users/avatars/000/037/334/square/Charlotte-square-small.jpg?1465646329
Writing Efficient R Code , Colin Gillespie, /courses/writing-efficient-r-code, https://assets.datacamp.com/users/avatars/000/643/547/square/img.jpg?1542818068
Forecasting Using R , Rob J. Hyndman, /courses/forecasting-using-r, https://assets.datacamp.com/users/avatars/000/124/826/square/RobJHyndman.jpg?1492602952
Machine Learning with Tree-Based Models in R , Gabriela de Queiroz, /courses/machine-learning-with-tree-based-models-in-r, https://assets.datacamp.com/users/avatars/000/000/374/square/Gabriela_de_Queiroz_copy.jpg?1509630256
Working with Web Data in R , Charlotte Wickham, /courses/working-with-web-data-in-r, https://assets.datacamp.com/users/avatars/000/037/334/square/Charlotte-square-small.jpg?1465646329
Quantitative Risk Management in R , Alexander J. McNeil, /courses/quantitative-risk-management-in-r, https://assets.datacamp.com/users/avatars/000/622/513/square/Alex_McNeil.jpg?1496010597
Spatial Statistics in R , Barry Rowlingson, /courses/spatial-statistics-in-r, https://assets.datacamp.com/users/avatars/000/626/385/square/profile3.png?1500390745
Data Visualization in R with lattice , Deepayan Sarkar, /courses/data-visualization-in-r-with-lattice, https://assets.datacamp.com/users/avatars/000/645/062/square/DSarkar.jpg?1495014870
Introduction to Spark in R using sparklyr , Richie Cotton, /courses/introduction-to-spark-in-r-using-sparklyr, https://assets.datacamp.com/users/avatars/000/547/073/square/richieaboutpic.jpg?1493156961
Data Types for Data Science , Jason Myers, /courses/data-types-for-data-science, https://assets.datacamp.com/users/avatars/000/376/297/square/JM.png?1477654638
Sentiment Analysis in R: The Tidy Way , DataCamp Content Creator, /courses/sentiment-analysis-in-r-the-tidy-way, https://assets.datacamp.com/users/avatars/003/959/633/square/datacamp-icon3.jpg?1555688234
Network Analysis in Python (Part 2) , Eric Ma, /courses/network-analysis-in-python-part-2, https://assets.datacamp.com/users/avatars/000/393/596/square/EM.png?1487772267
Multiple and Logistic Regression , Ben Baumer, /courses/multiple-and-logistic-regression, https://assets.datacamp.com/users/avatars/000/459/463/square/ben.jpg?1482085128
Inference for Linear Regression , Jo Hardin, /courses/inference-for-linear-regression, https://assets.datacamp.com/users/avatars/000/265/630/square/jo_headshot8.jpg?1481653247
Natural Language Processing Fundamentals in Python , Katharine Jarmul, /courses/natural-language-processing-fundamentals-in-python, https://assets.datacamp.com/users/avatars/000/790/307/square/Screenshot_2017-06-30_04.01.52.png?1498809845
Building Chatbots in Python , Alan Nichol, /courses/building-chatbots-in-python, https://assets.datacamp.com/users/avatars/000/784/245/square/Screen_Shot_2017-03-28_at_20.50.53.png?1490709089
Extreme Gradient Boosting with XGBoost , Sergey Fogelson, /courses/extreme-gradient-boosting-with-xgboost, https://assets.datacamp.com/users/avatars/000/799/357/square/sergey_fogelson.png?1504183398
Equity Valuation in R , Clifford Ang, /courses/equity-valuation-in-r, https://assets.datacamp.com/users/avatars/000/480/431/square/cliffang2.jpg?1482254976
Building Web Applications in R with Shiny: Case Studies , Dean Attali, /courses/building-web-applications-in-r-with-shiny-case-studies, https://assets.datacamp.com/users/avatars/000/626/631/square/headshotzoom.png?1520351468
Supervised Learning in R: Regression , John Mount, /courses/supervised-learning-in-r-regression, https://assets.datacamp.com/users/avatars/000/760/621/square/unnamed.jpg?1500463862
Importing & Managing Financial Data in Python , Stefan Jansen, /courses/importing-managing-financial-data-in-python, https://assets.datacamp.com/users/avatars/000/825/174/square/Stefan_Jansen_2.jpg?1500422709
Optimizing R Code with Rcpp , Team ThinkR, /courses/optimizing-r-code-with-rcpp, https://assets.datacamp.com/users/avatars/003/958/899/square/thinkR_4.png?1555615134
Manipulating Time Series Data in Python , Stefan Jansen, /courses/manipulating-time-series-data-in-python, https://assets.datacamp.com/users/avatars/000/825/174/square/Stefan_Jansen_2.jpg?1500422709
Introduction to Time Series Analysis in Python , Rob Reider, /courses/introduction-to-time-series-analysis-in-python, https://assets.datacamp.com/users/avatars/000/760/752/square/robreider.png?1521043567
Parallel Computing with Dask , Team Anaconda, /courses/parallel-computing-with-dask, https://assets.datacamp.com/users/avatars/000/638/084/square/anacondalogo.png?1538505076
Spatial Analysis in R with sf and raster , Zev Ross, /courses/spatial-analysis-in-r-with-sf-and-raster, https://assets.datacamp.com/users/avatars/000/450/662/square/zev.png?1512842150
Introduction to PySpark , Lore Dirick, /courses/introduction-to-pyspark, https://assets.datacamp.com/users/avatars/000/310/314/square/loreaboutpic.jpg?1493154524
Network Analysis in R , James Curley, /courses/network-analysis-in-r, https://assets.datacamp.com/users/avatars/000/819/917/square/nqeqmqiVrQ.jpeg?1514333982
Case Studies in Statistical Thinking , Justin Bois, /courses/case-studies-in-statistical-thinking, https://assets.datacamp.com/users/avatars/000/353/914/square/Screenshot_2016-10-07_18.54.27.png?1475880916
Joining Data in SQL , Chester Ismay, /courses/joining-data-in-postgresql, https://assets.datacamp.com/users/avatars/001/101/011/square/download.png?1510155744
Introduction to the Tidyverse , David Robinson, /courses/introduction-to-the-tidyverse, https://assets.datacamp.com/users/avatars/000/451/056/square/david_robinson_picture2.jpg?1476112227
Introduction to Shell for Data Science , Greg Wilson, /courses/introduction-to-shell-for-data-science, https://assets.datacamp.com/users/avatars/001/257/775/square/gvwilson-tpl-2017-large.jpg?1508344763
Developing R Packages , Aimee Gott, /courses/developing-r-packages, https://assets.datacamp.com/users/avatars/000/055/264/square/aimeebiophoto.JPG?1535604127
Visualizing Time Series Data in Python , Thomas Vincent, /courses/visualizing-time-series-data-in-python, https://assets.datacamp.com/users/avatars/001/138/929/square/tlfvincent.png?1521043184
Data Manipulation in R with data.table , Matt Dowle, /courses/data-manipulation-in-r-with-datatable, https://assets.datacamp.com/users/avatars/000/039/389/square/matt.jpg?1546303108
Fundamentals of Bayesian Data Analysis in R , Rasmus Bååth, /courses/fundamentals-of-bayesian-data-analysis-in-r, https://assets.datacamp.com/users/avatars/000/075/690/square/rasmus1_small_squared.jpeg?1530003034
Working with Dates and Times in R , Charlotte Wickham, /courses/working-with-dates-and-times-in-r, https://assets.datacamp.com/users/avatars/000/037/334/square/Charlotte-square-small.jpg?1465646329
Introduction to Git for Data Science , Greg Wilson, /courses/introduction-to-git-for-data-science, https://assets.datacamp.com/users/avatars/001/257/775/square/gvwilson-tpl-2017-large.jpg?1508344763
Python for R Users , Daniel Chen, /courses/python-for-r-users, https://assets.datacamp.com/users/avatars/000/481/353/square/danielchen.png?1487951784
Cluster Analysis in R , Dmitriy Gorenshteyn, /courses/cluster-analysis-in-r, https://assets.datacamp.com/users/avatars/000/078/072/square/dima.jpeg?1514901110
Intro to Financial Concepts using Python , Dakota Wixom, /courses/intro-to-financial-concepts-using-python, https://assets.datacamp.com/users/avatars/000/141/250/square/dakota-profile-pic-white-square.jpg?1513976402
Intro to Portfolio Risk Management in Python , Dakota Wixom, /courses/intro-to-portfolio-risk-management-in-python, https://assets.datacamp.com/users/avatars/000/141/250/square/dakota-profile-pic-white-square.jpg?1513976402
Conda Essentials , David Mertz, /courses/conda-essentials, https://assets.datacamp.com/users/avatars/001/478/713/square/david.png?1529951619
Interactive Data Visualization with plotly in R , Adam Loy, /courses/interactive-data-visualization-with-plotly-in-r, https://assets.datacamp.com/users/avatars/001/919/425/square/1311926.jpeg?1543590972
Visualizing Big Data with Trelliscope , Ryan Hafen, /courses/visualizing-big-data-with-trelliscope, https://assets.datacamp.com/users/avatars/000/073/845/square/hafen.png?1520354087
Building Dashboards with flexdashboard , Elaine McVey, /courses/building-dashboards-with-flexdashboard, https://assets.datacamp.com/users/avatars/000/345/826/square/0_Pb5z4XxLbD90Of1CXnM1e-YiF0B9VSYXrzZ1WsOinxcnwT1bbTZPyf0iQ0cs2TYX9DZPZNYQvV9nWymar2qsf0OLGV99WyGXT2qcsXG5Bhb0WIPSTeX9pzQ1bY?1496892225
Communicating with Data in the Tidyverse , Timo Grossenbacher, /courses/communicating-with-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/001/189/228/square/wd0a6wOs_400x400.jpg?1510082450
Introduction to Linear Modeling in Python , Jason Vestuto, /courses/introduction-to-linear-modeling-in-python, https://assets.datacamp.com/users/avatars/000/971/044/square/vestuto_square.png?1541570984
Introduction to MongoDB in Python , Donny Winston, /courses/introduction-to-using-mongodb-for-data-science-with-python, https://assets.datacamp.com/users/avatars/001/649/769/square/me-lbl-eta-official-2016-square-sm.jpg?1547233038
ChIP-seq Workflows in R , Peter Humburg, /courses/chip-seq-workflows-in-r, https://assets.datacamp.com/users/avatars/001/308/754/square/Screen_Shot_2018-09-13_at_12.13.12_PM.png?1536855234
Joining Data in R with data.table , Scott Ritchie, /courses/joining-data-in-r-with-datatable, https://assets.datacamp.com/users/avatars/001/428/474/square/image18.png?1540402054
Foundations of Functional Programming with purrr , DataCamp Content Creator, /courses/foundations-of-functional-programming-with-purrr, https://assets.datacamp.com/users/avatars/003/959/563/square/datacamp-icon3.jpg?1555620918
Visualization Best Practices in R , Nick Strayer, /courses/visualization-best-practices-in-r, https://assets.datacamp.com/users/avatars/001/650/878/square/nstrayer.jpg?1537566143
Building Dashboards with shinydashboard , Lucy D’Agostino McGowan, /courses/building-dashboards-with-shinydashboard, https://assets.datacamp.com/users/avatars/001/509/725/square/lucy-asa_copy.png?1519665596
Modeling with Data in the Tidyverse , Albert Y. Kim, /courses/modeling-with-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/000/042/850/square/bert_cropped.jpg?1504480960
Human Resources Analytics in R: Exploring Employee Data , Ben Teusch, /courses/human-resources-analytics-in-r-exploring-employee-data, https://assets.datacamp.com/users/avatars/000/199/993/square/0_P2c1zPfaN01KDLKJTLIlTe7SLY_VZ5KMXLoKkDfH5h_0dW1MTjIKq57Sv8_-ILKvBjIv5JaH6sfssNmz6bQyGemalsfVsNGVXbQABPtmX8Y1siPPXinrloqbAr?1504810595
Working with Data in the Tidyverse , Alison Hill, /courses/working-with-data-in-the-tidyverse, https://assets.datacamp.com/users/avatars/001/019/905/square/aph-500x500.jpg?1504041447
Supervised Learning in R: Case Studies , DataCamp Content Creator, /courses/supervised-learning-in-r-case-studies, https://assets.datacamp.com/users/avatars/003/959/633/square/datacamp-icon3.jpg?1555688234
Forecasting Product Demand in R , Aric LaBarr, /courses/forecasting-product-demand-in-r, https://assets.datacamp.com/users/avatars/000/288/785/square/01_lowres.jpg?1513478317
Marketing Analytics in R: Statistical Modeling , Verena Pflieger, /courses/marketing-analytics-in-r-statistical-modeling, https://assets.datacamp.com/users/avatars/000/142/029/square/INWT_vpflieger.jpg?1527883548
Hierarchical and Mixed Effects Models , Richard Erickson, /courses/hierarchical-and-mixed-effects-models, https://assets.datacamp.com/users/avatars/001/561/773/square/DSC04589.JPG?1522202088
Machine Learning for Time Series Data in Python , Chris Holdgraf, /courses/machine-learning-for-time-series-data-in-python, https://assets.datacamp.com/users/avatars/001/233/610/square/profile_sq.png?1538333916
Linear Classifiers in Python , Mike Gelbart, /courses/linear-classifiers-in-python, https://assets.datacamp.com/users/avatars/001/464/240/square/MikePhotoSquare.jpg?1520402090
HR Analytics in Python: Predicting Employee Churn , Hrant Davtyan, /courses/hr-analytics-in-python-predicting-employee-churn, https://assets.datacamp.com/users/avatars/000/886/147/square/hrant.jpeg?1523387842
